ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
6,Connecticut,04-12-2020,12035,554,,11481.0,337.5604825000001,41220.0,1654.0,4.6032405480000005,1156.148159,13.74324886,,
56,Connecticut,04-13-2020,13381,602,,12779.0,375.31340394195473,44309.0,1760.0,4.498916373963082,1242.7891499337925,13.152978103280773,0.08664259927797834,0.11184046530951391
106,Connecticut,04-14-2020,13989,671,,13318.0,392.3667295,45841.0,1779.0,4.79662592,1285.759043,12.71713489,0.11461794019933555,0.045437560720424486
156,Connecticut,04-15-2020,14755,868,,13887.0,413.85167589593766,50143.0,1908.0,5.882751609623856,1406.4225404574722,12.931209759403592,0.293591654247392,0.054757309314461364
206,Connecticut,04-16-2020,15884,971,,14913.0,445.51813079844635,53122.0,1926.0,6.113069755729035,1489.9782261568287,12.12540921682196,0.11866359447004608,0.07651643510674348
256,Connecticut,04-17-2020,16809,1036,,15773.0,471.46274619687006,55462.0,1946.0,6.163364864060919,1555.6110910566247,11.577131298709025,0.06694129763130793,0.05823470158650214
306,Connecticut,04-18-2020,17550,1086,,16464.0,492.2464867484722,55462.0,1946.0,6.188034188034187,1555.6110910566247,11.08831908831909,0.04826254826254826,0.04408352668213457
356,Connecticut,04-19-2020,17962,1127,,16835.0,503.8023586880944,58213.0,1938.0,6.274356975837881,1632.77177966318,10.789444382585456,0.037753222836095765,0.023475783475783475
406,Connecticut,04-20-2020,19815,1331,,18484.0,555.7757341835313,62806.0,1919.0,6.717133484733787,1761.5973132036775,9.684582387080496,0.18101153504880213,0.10316223137735218
456,Connecticut,04-21-2020,20360,1423,,18937.0,571.0620210939543,64192.0,1949.0,6.989194499017682,1800.4721639520185,9.572691552062867,0.06912096168294515,0.027504415846580872
506,Connecticut,04-22-2020,22469,1544,,20925.0,630.2157442023603,69918.0,1972.0,6.871689883839957,1961.0763453264767,8.776536561484713,0.08503162333099086,0.10358546168958743
556,Connecticut,04-23-2020,23100,1639,,21461.0,647.9141791390148,71497.0,1947.0,7.095238095238094,2005.3645050174082,8.428571428571429,0.06152849740932642,0.028083136766211225
606,Connecticut,04-24-2020,23936,1767,,22169.0,671.3625018126171,74038.0,1877.0,7.382185828877004,2076.6350647227,7.841744652406418,0.07809640024405125,0.03619047619047619
656,Connecticut,04-25-2020,24583,1865,,22718.0,689.5097084750821,77602.0,1810.0,7.58654354635317,2176.598966647005,7.362811699141682,0.055461233729485006,0.027030414438502674
706,Connecticut,04-26-2020,25269,1924,,23345.0,708.7507962192102,79811.0,1766.0,7.614072579049427,2238.557513041727,6.988800506549528,0.03163538873994638,0.02790546312492373
756,Connecticut,04-27-2020,25997,2012,,23985.0,729.1699097435915,79811.0,1758.0,7.7393545409085664,2238.557513041727,6.762318729084124,0.04573804573804574,0.028810004353159998
806,Connecticut,04-28-2020,26312,2087,,24225.0,738.005103095487,92745.0,,7.931742170872606,2601.3333568938488,,0.037276341948310136,0.012116782705696811
856,Connecticut,04-29-2020,26767,2169,,24598.0,750.7670490482252,94818.0,,8.103261478686441,2659.477343619181,,0.0392908481073311,0.017292490118577076
906,Connecticut,04-30-2020,27700,2257,0.0,25443.0,776.9360503095543,97133.0,,8.148014440433213,2724.4090026973986,,0.04057169202397418,0.03485635297194306
956,Connecticut,05-01-2020,28764,2339,4346.0,22079.0,806.7793700759572,100257.0,7758.0,8.131692393269365,2812.031682161913,26.971214017521906,0.03633141338059371,0.0384115523465704
1006,Connecticut,05-02-2020,29287,2436,4346.0,22505.0,821.4485958633908,100257.0,7758.0,8.317683613890122,2812.031682161913,26.489568750640217,0.04147071398033347,0.01818245028507857
